song_name,album,year,item_type,source_release
New Life,Speak & Spell,1981,album_track,Speak & Spell
I Sometimes Wish I Was Dead,Speak & Spell,1981,album_track,Speak & Spell
Puppets,Speak & Spell,1981,album_track,Speak & Spell
Boys Say Go!,Speak & Spell,1981,album_track,Speak & Spell
Nodisco,Speak & Spell,1981,album_track,Speak & Spell
What's Your Name,Speak & Spell,1981,album_track,Speak & Spell
Photographic,Speak & Spell,1981,album_track,Speak & Spell
Tora! Tora! Tora!,Speak & Spell,1981,album_track,Speak & Spell
Big Muff,Speak & Spell,1981,album_track,Speak & Spell
Any Second Now (Voices),Speak & Spell,1981,album_track,Speak & Spell
Just Can't Get Enough,Speak & Spell,1981,album_track,Speak & Spell
Leave In Silence,A Broken Frame,1982,album_track,A Broken Frame
My Secret Garden,A Broken Frame,1982,album_track,A Broken Frame
Monument,A Broken Frame,1982,album_track,A Broken Frame
Nothing To Fear,A Broken Frame,1982,album_track,A Broken Frame
See You,A Broken Frame,1982,album_track,A Broken Frame
Satellite,A Broken Frame,1982,album_track,A Broken Frame
The Meaning Of Love,A Broken Frame,1982,album_track,A Broken Frame
A Photograph Of You,A Broken Frame,1982,album_track,A Broken Frame
Shouldn't Have Done That,A Broken Frame,1982,album_track,A Broken Frame
The Sun & The Rainfall,A Broken Frame,1982,album_track,A Broken Frame
"Love, In Itself",Construction Time Again,1983,album_track,Construction Time Again
More Than A Party,Construction Time Again,1983,album_track,Construction Time Again
Pipeline,Construction Time Again,1983,album_track,Construction Time Again
Everything Counts,Construction Time Again,1983,album_track,Construction Time Again
Two Minute Warning,Construction Time Again,1983,album_track,Construction Time Again
Shame,Construction Time Again,1983,album_track,Construction Time Again
The Landscape Is Changing,Construction Time Again,1983,album_track,Construction Time Again
Told You So,Construction Time Again,1983,album_track,Construction Time Again
And Then...,Construction Time Again,1983,album_track,Construction Time Again
Everything Counts (Reprise),Construction Time Again,1983,album_track,Construction Time Again
Something To Do,Some Great Reward,1984,album_track,Some Great Reward
Lie To Me,Some Great Reward,1984,album_track,Some Great Reward
People Are People,Some Great Reward,1984,album_track,Some Great Reward
It Doesn't Matter,Some Great Reward,1984,album_track,Some Great Reward
Stories Of Old,Some Great Reward,1984,album_track,Some Great Reward
Somebody,Some Great Reward,1984,album_track,Some Great Reward
Master And Servant,Some Great Reward,1984,album_track,Some Great Reward
If You Want,Some Great Reward,1984,album_track,Some Great Reward
Blasphemous Rumours,Some Great Reward,1984,album_track,Some Great Reward
Black Celebration,Black Celebration,1986,album_track,Black Celebration
Fly On The Windscreen,Black Celebration,1986,album_track,Black Celebration
A Question Of Lust,Black Celebration,1986,album_track,Black Celebration
Sometimes,Black Celebration,1986,album_track,Black Celebration
It Doesn't Matter Two,Black Celebration,1986,album_track,Black Celebration
A Question Of Time,Black Celebration,1986,album_track,Black Celebration
Stripped,Black Celebration,1986,album_track,Black Celebration
Here Is The House,Black Celebration,1986,album_track,Black Celebration
World Full Of Nothing,Black Celebration,1986,album_track,Black Celebration
Dressed In Black,Black Celebration,1986,album_track,Black Celebration
New Dress,Black Celebration,1986,album_track,Black Celebration
Never Let Me Down Again,Music For The Masses,1987,album_track,Music For The Masses
The Things You Said,Music For The Masses,1987,album_track,Music For The Masses
Strangelove,Music For The Masses,1987,album_track,Music For The Masses
Sacred,Music For The Masses,1987,album_track,Music For The Masses
Little 15,Music For The Masses,1987,album_track,Music For The Masses
Behind The Wheel,Music For The Masses,1987,album_track,Music For The Masses
I Want You Now,Music For The Masses,1987,album_track,Music For The Masses
To Have And To Hold,Music For The Masses,1987,album_track,Music For The Masses
Nothing,Music For The Masses,1987,album_track,Music For The Masses
Pimpf,Music For The Masses,1987,album_track,Music For The Masses
Interlude #1 - Mission Impossible,Music For The Masses,1987,album_track,Music For The Masses
World In My Eyes,Violator,1990,album_track,Violator
Sweetest Perfection,Violator,1990,album_track,Violator
Personal Jesus,Violator,1990,album_track,Violator
Halo,Violator,1990,album_track,Violator
Waiting For The Night,Violator,1990,album_track,Violator
Enjoy The Silence,Violator,1990,album_track,Violator
Interlude #2 - Crucified,Violator,1990,album_track,Violator
Policy Of Truth,Violator,1990,album_track,Violator
Blue Dress,Violator,1990,album_track,Violator
Interlude #3,Violator,1990,album_track,Violator
Clean,Violator,1990,album_track,Violator
I Feel You,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Walking In My Shoes,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
Condemnation,Songs Of Faith And Devotion,1993,album_track,Songs Of Faith And Devotion
